epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5212,0.86205,2.46844,1.41402,0.21974,0.48748,0.4201,0.26039,1.18597,3.44611,1.5744,0.00038341,0.00038341,0.00038341
2,43.4582,0.70305,1.67826,1.29065,0.52772,0.33486,0.36899,0.1782,1.38447,3.18105,1.83809,0.000780904,0.000780904,0.000780904
3,60.0373,0.71351,1.49297,1.28287,0.3097,0.3094,0.2133,0.0596,2.73097,3.81137,3.86151,0.00117576,0.00117576,0.00117576
4,76.2607,0.75044,1.49373,1.32513,0.38524,0.57127,0.4422,0.19578,1.70622,3.15695,2.20092,0.00156797,0.00156797,0.00156797
5,92.3124,0.71585,1.3225,1.27968,0.43153,0.36096,0.35701,0.17084,1.43054,2.97022,2.09678,0.001645,0.001645,0.001645
6,108.507,0.72823,1.33361,1.28816,0.45237,0.32588,0.33254,0.20425,1.71703,2.54219,2.24471,0.00163949,0.00163949,0.00163949
7,124.618,0.72359,1.27596,1.28112,0.65608,0.72061,0.71881,0.45489,1.231,1.72816,1.79535,0.00163399,0.00163399,0.00163399
8,140.792,0.71139,1.28905,1.28985,0.50279,0.45044,0.39374,0.15633,1.98228,2.64902,2.56597,0.00162849,0.00162849,0.00162849
9,156.983,0.68348,1.13036,1.27468,0.35616,0.27544,0.30719,0.1183,2.1184,3.11203,2.55729,0.00162299,0.00162299,0.00162299
10,173.059,0.68413,1.12492,1.28893,0.51746,0.45219,0.46356,0.22176,1.76684,2.17993,2.16639,0.00161749,0.00161749,0.00161749
11,189.159,0.70606,1.14118,1.29383,0.68056,0.73816,0.77685,0.4734,1.08797,1.59538,1.4498,0.00161199,0.00161199,0.00161199
